id_inicio,id_fin,distancia
A,B,55.69
A,C,54.15
A,K,246.24
A,H,207.95
A,Kioscos,110.32
A,P.S,139.97
A,P.V,185.85
A,CasaG,156.23
A,O,215.79
A,F,222.65
A,Atelier,242.91
A,G,514.46
A,D1,156.21
A,CAF,276.67
A,PingPong,248.01
A,Mesón,285.34
A,Biblioteca,347.54
A,Cajero,337.95
A,Capilla,399.12
A,AdPortas,407.45
A,Embarca,470.11
A,E1,461.7
A,E2,480.33
A,D2,301.51
B,F,170.87
B,Atelier,196.63
B,D1,114.9
B,CAF,223.77
B,PingPong,211.62
B,Mesón,242.3
B,AdPortas,378.92
B,Biblioteca,241.57
B,G,430.95
B,E1,394.7
B,E2,415.52
B,Embarca,367.41
B,Cajero,218.56
B,Capilla,299.46
B,D2,224.72
C,L,215.29
C,H,200.72
C,Kioscos,124.0
C,P.S,113.45
C,P.V,158.93
C,CasaG,206.55
C,O,188.96
C,F,205.56
C,Atelier,246.94
C,D1,170.83
C,CAF,238.56
C,PingPong,209.87
C,Mesón,239.08
C,AdPortas,478.04
C,Biblioteca,335.8
C,G,514.99
C,E1,480.62
C,E2,507.97
C,Embarca,449.56
C,Cajero,304.09
C,Capilla,367.4
C,D2,302.04
D1,P.S,72.71
D1,P.V,44.32
D1,H,120.09
D1,F,160.25
D1,Atelier,160.73
D1,CasaG,86.16
D1,CAF,229.26
D1,PingPong,253.2
D1,Mesón,266.18
D1,AdPortas,324.92
D1,Biblioteca,124.34
D1,G,323.35
D1,E1,285.77
D1,E2,302.6
D1,Embarca,267.35
D1,Cajero,55.33
D1,Capilla,118.3
D2,D1,47.87
D2,E1,170.48
D2,E2,195.43
D2,Biblioteca,106.11
D2,Embarca,183.55
D2,CasaG,86.16
E1,E2,31.2
E1,Embarca,47.61
E1,CasaG,228.85
E2,Embarca,44.82
E2,Biblioteca,102.36
E2,CasaG,245.34
F,G,285.4
F,Embarca,229.62
F,E1,179.24
F,E2,221.24
F,Biblioteca,189.0
F,Mesón,114.0
F,H,45.38
F,CAF,74.85
F,Atelier,53.83
F,PingPong,100.72
G,D2,338.26
G,E1,154.75
G,E2,155.81
G,Embarca,56.86
G,Biblioteca,334.19
G,CasaG,220.55
H,F,44.88
H,Atelier,32.93
H,AdPortas,461.98
H,Biblioteca,229.08
H,G,277.4
H,E1,214.73
H,E2,259.8
H,Embarca,216.79
H,Cajero,221.42
H,Capilla,275.43
H,D2,277.53
AdPortas,Capilla,94.23
AdPortas,CasaG,120.45
AdPortas,Cajero,143.92
AdPortas,D2,173.86
AdPortas,Embarca,199.03
AdPortas,G,214.86
AdPortas,Biblioteca,143.36
AdPortas,E1,232.98
AdPortas,E2,239.07
AdPortas,H,467.87
AdPortas,F,502.63
Atelier,F,42.2
B,C,60.5
B,K,176.71
B,H,157.69
B,Kioscos,141.09
B,P.S,51.38
B,P.V,107.38
B,CasaG,207.56
B,O,126.44
Biblioteca,Embarca,77.78
Biblioteca,CasaG,148.91
CAF,PingPong,68.04
CAF,Mesón,56.76
Capilla,CasaG,40.01
Capilla,Cajero,40.27
Capilla,G,181.84
Capilla,D2,79.0
Capilla,Embarca,189.19
Capilla,Biblioteca,119.91
Capilla,E1,201.43
Capilla,E2,216.95
Cajero,CasaG,46.8
Cajero,G,192.47
Cajero,D2,42.72
Cajero,Embarca,194.59
Cajero,Biblioteca,111.67
Cajero,E1,187.66
Cajero,E2,209.13
PingPong,Mesón,43.3
K,H,291.73
K,AdPortas,106.42
K,Kioscos,175.92
K,P.S,183.66
K,P.V,206.63
K,CasaG,110.85
K,O,219.74
K,F,333.25
K,Atelier,329.98
K,D1,178.75
K,CAF,387.89
K,PingPong,307.5
K,Mesón,417.17
K,Biblioteca,389.68
K,G,431.35
K,E1,471.35
K,E2,493.5
K,Embarca,459.06
K,Cajero,242.91
K,Capilla,260.0
K,D2,291.28
Kioscos,P.V,238.5
Kioscos,P.S,180.83
Kioscos,CasaG,239.27
Kioscos,Atelier,337.84
Kioscos,D1,242.07
Kioscos,H,294.32
Kioscos,F,313.41
Kioscos,CAF,349.65
Kioscos,PingPong,332.77
Kioscos,Mesón,355.44
Kioscos,AdPortas,533.41
Kioscos,Biblioteca,335.87
Kioscos,G,568.01
Kioscos,E1,539.17
Kioscos,E2,569.76
Kioscos,Embarca,511.6
Kioscos,Cajero,357.02
Kioscos,Capilla,414.7
Kioscos,D2,338.02
O,P.S,76.76
O,P.V,26.46
O,H,75.67
O,F,120.04
O,Atelier,32.94
O,D1,194.23
